time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-09-20T07:54:11Z,-45.870215,170.505844,-21.0,11.0,14.4,1.25,0,gps,1.1,0.8,1.4,5.0,,
2016-09-20T07:55:17Z,-45.869281,170.506427,-4.0,17.0,49.3,1.75,0,gps,0.8,0.7,1.1,5.0,,
2016-09-20T07:56:18Z,-45.868572,170.506797,-13.0,7.0,30.4,1.25,10,gps,1.0,0.8,1.2,5.0,,
2016-09-20T07:57:19Z,-45.868154,170.507573,10.0,4.0,97.8,1.25,14,gps,0.8,0.7,1.1,5.0,,
2016-09-20T07:58:20Z,-45.867967,170.508457,12.0,5.0,15.1,1.5,14,gps,0.8,0.7,1.1,5.0,,
2016-09-20T07:59:21Z,-45.867209,170.508986,12.0,8.0,25.7,1.25,16,gps,0.7,0.7,1.0,5.0,,
2016-09-20T08:00:22Z,-45.866877,170.510081,25.0,9.0,60.4,1.25,17,gps,0.7,0.6,0.9,5.0,,
2016-09-20T08:01:23Z,-45.866588,170.511283,20.0,7.0,28.8,1.5,15,gps,0.7,0.7,1.0,5.0,,
2016-09-20T08:02:24Z,-45.865935,170.511757,12.0,12.0,138.1,1.0,14,gps,0.8,0.7,1.1,5.0,,
2016-09-20T08:03:25Z,-45.865866,170.513022,2.0,4.0,57.9,1.5,13,gps,0.8,0.7,1.0,5.0,,
2016-09-20T08:04:27Z,-45.865660,170.514210,19.0,3.0,100.3,1.5,14,gps,0.8,0.7,1.0,5.0,,
2016-09-20T08:05:30Z,-45.865883,170.515460,17.0,4.0,115.3,1.5,15,gps,0.7,0.6,1.0,5.0,,
2016-09-20T08:06:33Z,-45.866189,170.516561,13.0,23.0,122.6,1.5,0,gps,0.9,0.7,1.1,5.0,,
2016-09-20T08:09:46Z,-45.866767,170.517885,,26.39,,,0,network,,,,,,
2016-09-20T08:08:49Z,-45.867059,170.518852,23.0,38.0,34.8,1.4142135,0,gps,1.2,1.0,1.5,5.0,,
2016-09-20T08:11:57Z,-45.866222,170.519165,,36.481,,,0,network,,,,,,
2016-09-20T08:13:28Z,-45.865780,170.519396,,33.987,,,0,network,,,,,,
